commit,parent1,parent2,ancestor,is pr,added lines,deleted lines,devs parent1,devs parent2,time,nr files,added files,deleted files,renamed files,copied files,modified files,nr commits1,nr commits2,density1,density2,fix,bug,feature,improve,document,refactor,update,add,remove,use,delete,change,messages_min,messages_max,messages_mean,messages_median,conflict,avg_density,avg_density_cat,added_lines_per_commit,deleted_lines_per_commit,files_per_commit,files_per_developer,messages_per_commit,commit_per_developer_on_branch1,commit_per_developer_on_branch2
7888,25860,21900,14606,1,13,1,4,1,45,1,0,0,0,0,1,22,1,12,1,5,0,0,0,0,0,0,6,0,1,0,1,60,146,92.36363636363636,91.0,0,6.5,3,0.5652173913043478,0.043478260869565216,0.043478260869565216,0.2,4.015810276679842,5.5,1.0
19417,22288,23447,4806,1,29,2,52,1,413,1,0,0,0,0,2,355,1,103,0,99,11,3,1,5,3,25,84,15,23,1,29,76,512,117.79718309859156,115.0,0,51.5,3,0.08146067415730338,0.0056179775280898875,0.0028089887640449437,0.018867924528301886,0.33089096376008864,6.826923076923077,1.0
26436,22833,17964,11592,1,67,44,33,1,239,2,0,0,0,0,2,125,1,37,0,28,4,1,1,6,0,7,21,6,11,0,5,53,438,102.184,95.0,0,18.5,3,0.5317460317460317,0.3492063492063492,0.015873015873015872,0.058823529411764705,0.8109841269841269,3.787878787878788,1.0
18879,4470,14097,13638,0,1448,332,9,22,2326,11,1,0,0,0,46,68,92,1,1,13,4,0,0,4,1,18,13,6,3,0,5,24,173,86.51278772378517,88.0,1,1.0,1,9.05,2.075,0.06875,0.3548387096774194,0.5407049232736573,7.555555555555555,4.181818181818182
8602,21563,24165,16207,1,2472,11,3,3,46,1,14,0,0,0,11,7,32,0,31,12,3,0,0,3,0,4,16,1,0,1,1,12,136,64.36160714285714,72.5,0,15.5,3,63.38461538461539,0.28205128205128205,0.02564102564102564,0.16666666666666666,1.6502976190476188,2.3333333333333335,10.666666666666666
17760,10389,16471,11150,1,4,1,3,1,460,1,0,0,0,0,1,10,1,0,1,1,0,0,0,1,0,2,1,0,1,0,0,45,88,70.2,73.0,0,0.5,1,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.25,6.381818181818182,3.3333333333333335,1.0
20679,10034,2991,6162,0,78,47,13,1,433,1,0,0,0,0,1,81,1,34,1,12,1,0,1,1,0,3,21,2,1,0,3,79,161,106.03703703703704,106.0,0,17.5,3,0.9512195121951219,0.573170731707317,0.012195121951219513,0.07142857142857142,1.2931345980126467,6.230769230769231,1.0
14988,1811,17083,5638,1,1,1,94,1,242,1,0,0,0,0,1,407,1,236,0,88,9,0,1,11,1,37,75,11,31,0,11,51,184,99.08845208845209,97.0,0,118.0,4,0.0024509803921568627,0.0024509803921568627,0.0024509803921568627,0.010526315789473684,0.2428638531579708,4.329787234042553,1.0
6025,17050,5716,7420,0,0,0,5,4,71,3,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,2,0,0,2,0,0,34,216,94.25,88.0,0,0.0,,0.0,0.0,0.1875,0.3333333333333333,5.890625,1.6,2.0
22652,7315,4799,4606,1,10,1,39,1,451,1,0,0,0,0,1,343,1,101,0,83,20,0,5,5,2,31,49,15,28,0,7,54,545,98.1195335276968,93.0,0,50.5,3,0.029069767441860465,0.0029069767441860465,0.0029069767441860465,0.025,0.2852312021153977,8.794871794871796,1.0
1726,14394,4811,5521,0,72,55,5,1,47,2,0,0,0,0,3,27,1,22,0,7,0,0,1,3,0,2,2,0,1,0,1,49,114,77.51851851851852,75.0,1,11.0,3,2.5714285714285716,1.9642857142857142,0.07142857142857142,0.3333333333333333,2.7685185185185186,5.4,1.0
5821,11518,22459,6694,0,0,0,1,5,671,4,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,62,41.66666666666667,39.0,1,0.0,,0.0,0.0,0.4,0.6666666666666666,4.166666666666667,1.0,1.8
11985,16651,11339,15134,1,571,1,14,1,617,1,11,0,0,0,1,132,2,51,0,13,4,0,3,0,0,5,40,5,3,0,3,76,289,133.63636363636363,131.0,0,25.5,3,4.2611940298507465,0.007462686567164179,0.007462686567164179,0.06666666666666667,0.9972862957937584,9.428571428571429,2.0
6536,25900,1665,10188,0,19,0,8,1,55,1,0,0,0,0,1,231,3,39,0,16,3,14,4,4,3,7,31,9,4,2,1,37,287,78.23809523809524,77.0,0,19.5,3,0.0811965811965812,0.0,0.004273504273504274,0.1111111111111111,0.33435083435083435,28.875,3.0
9713,7671,14668,14499,1,77,18,29,1,552,2,0,0,0,0,2,164,1,14,0,31,2,1,4,4,0,12,28,3,4,0,3,32,135,60.13414634146341,60.5,0,7.0,3,0.4666666666666667,0.10909090909090909,0.012121212121212121,0.06666666666666667,0.36444937176644493,5.655172413793103,1.0
6812,22362,26054,2289,0,69,3,10,1,87,1,0,0,0,0,5,18,1,13,1,8,0,0,1,0,0,3,4,0,5,0,0,86,377,138.61111111111111,115.5,0,7.0,3,3.6315789473684212,0.15789473684210525,0.05263157894736842,0.09090909090909091,7.295321637426901,1.8,1.0
5832,7206,383,4408,1,1211,1040,6,1,624,1,0,1,0,0,11,33,1,15,0,6,0,0,5,0,0,0,4,0,1,0,0,73,177,104.93939393939394,103.0,0,7.5,3,35.61764705882353,30.58823529411765,0.029411764705882353,0.14285714285714285,3.086452762923351,5.5,1.0
14608,22015,2445,17790,1,1,1,4,1,110,1,0,0,0,0,1,18,1,18,0,4,0,0,0,3,0,0,6,0,0,0,0,96,148,118.05555555555556,116.0,0,9.0,3,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.2,6.213450292397661,4.5,1.0
10033,13143,4720,2965,0,112,115,48,1,49,1,0,0,0,0,3,140,1,81,0,26,3,1,0,2,1,11,26,2,8,0,11,441,646,481.5928571428571,480.0,0,40.5,3,0.7943262411347518,0.8156028368794326,0.0070921985815602835,0.02040816326530612,3.4155521783181353,2.9166666666666665,1.0
25575,6662,22179,6007,0,501,3,1,6,353,1,10,0,71,0,6,4,19,2,5,1,0,0,0,1,2,2,7,1,2,0,3,75,215,139.4736842105263,132.5,0,3.5,2,21.782608695652176,0.13043478260869565,0.043478260869565216,0.14285714285714285,6.064073226544622,4.0,3.1666666666666665
13908,18725,16910,10518,1,1,0,2,1,148,1,0,0,0,0,1,3,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,32,60,47.0,49.0,0,1.5,2,0.25,0.0,0.25,0.3333333333333333,11.75,1.5,1.0
26290,7223,14607,7126,1,66,2,3,1,275,1,0,0,0,0,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,98,126,108.75,105.5,0,1.0,1,13.2,0.4,0.2,0.25,21.75,1.3333333333333333,1.0
